Timestamp,YYYYMMDD,HHMMSS,PREC,AIRT,SST,RH,Q
75,20060101,123000,0.02,28.75,29.461,77.9,HighQ
76,20060101,124000,-0.01,28.76,29.45,77.6,HighQ
77,20060101,125000,-0.01,28.77,29.446,77.4,HighQ
78,20060101,130000,0.01,28.72,29.44,77.2,HighQ
79,20060101,131000,0.01,28.75,29.454,77.5,HighQ
80,20060101,132000,0,28.71,29.443,76.9,HighQ
81,20060101,133000,0,28.7,29.469,77.9,HighQ
82,20060101,134000,0.01,28.68,29.465,78,HighQ
83,20060101,135000,-0.01,28.66,29.465,78.3,HighQ
84,20060101,140000,-0.01,28.65,29.472,77.7,HighQ
85,20060101,141000,0.01,28.67,29.47,77.6,HighQ
86,20060101,142000,0,28.66,29.499,77.3,HighQ
87,20060101,143000,-0.01,28.67,29.49,78,HighQ
88,20060101,144000,-0.01,28.68,29.482,78.9,HighQ
89,20060101,145000,-0.01,28.64,29.49,80.2,HighQ
90,20060101,150000,-0.01,28.55,29.484,79.7,HighQ
91,20060101,151000,0,28.57,29.469,79.9,HighQ
92,20060101,152000,0,28.48,29.474,78.7,HighQ
93,20060101,153000,0.01,28.56,29.475,78.4,HighQ
94,20060101,154000,0,28.56,29.475,78.4,HighQ
95,20060101,155000,0,28.57,29.484,78.9,HighQ
96,20060101,160000,0,28.52,29.481,78.9,HighQ
97,20060101,161000,-0.02,28.51,29.502,79.9,HighQ
98,20060101,162000,-0.01,28.48,29.515,79.9,HighQ
99,20060101,163000,0.01,28.49,29.509,80.2,HighQ
100,20060101,164000,-0.01,28.49,29.528,79.8,HighQ
101,20060101,165000,0,28.44,29.531,78.9,HighQ
102,20060101,170000,-0.01,28.46,29.525,78.8,HighQ
103,20060101,171000,0.01,28.47,29.532,80.2,HighQ
104,20060101,172000,-0.01,28.45,29.528,79.7,HighQ
105,20060101,173000,0,28.44,29.522,79.3,HighQ
106,20060101,174000,-0.01,28.44,29.51,79.4,HighQ
107,20060101,175000,0,28.47,29.514,79.9,HighQ
108,20060101,180000,-0.01,28.45,29.51,80.1,HighQ
109,20060101,181000,-0.01,28.42,29.502,79,HighQ
110,20060101,182000,0,28.47,29.49,79,HighQ
111,20060101,183000,0.01,28.47,29.48,79.6,HighQ
112,20060101,184000,-0.01,28.48,29.48,80.1,HighQ
113,20060101,185000,0,28.48,29.492,80.3,HighQ
114,20060101,190000,0,28.47,29.476,79.1,HighQ
115,20060101,191000,-0.01,28.48,29.487,80.8,HighQ
116,20060101,192000,0,28.36,29.475,80.8,HighQ
117,20060101,193000,-0.01,28.62,29.471,80,HighQ
118,20060101,194000,-0.01,28.72,29.475,78.8,HighQ
119,20060101,195000,-0.01,28.85,29.479,77.9,HighQ
120,20060101,200000,-0.02,29.05,29.47,78,HighQ
121,20060101,201000,-0.02,29.05,29.471,77.2,HighQ
122,20060101,202000,-0.01,29.2,29.471,76.4,HighQ
123,20060101,203000,-0.01,29.38,29.471,77.2,HighQ
124,20060101,204000,-0.01,29.19,29.471,77.2,HighQ
125,20060101,205000,-0.01,29.41,29.465,76.4,HighQ
126,20060101,210000,-0.03,29.42,29.475,77.2,HighQ
127,20060101,211000,-0.01,29.32,29.475,77,HighQ
128,20060101,212000,-0.01,29.29,29.474,78.2,HighQ
129,20060101,213000,0,29.13,29.475,78.3,HighQ
130,20060101,214000,-0.02,29.19,29.477,78.8,HighQ
131,20060101,215000,-0.01,29.06,29.472,79.2,HighQ
132,20060101,220000,-0.04,29.1,29.49,79.3,HighQ
133,20060101,221000,-0.01,29,29.487,80.8,HighQ
134,20060101,222000,0,28.72,29.486,81,HighQ
135,20060101,223000,-0.01,28.77,29.481,80.2,HighQ
136,20060101,224000,-0.01,28.94,29.491,79.9,HighQ
137,20060101,225000,-0.01,28.87,29.53,80.9,HighQ
138,20060101,230000,-0.02,29.01,29.546,78.3,HighQ
139,20060101,231000,-0.02,29.08,29.561,76.6,HighQ
140,20060101,232000,-0.02,29.18,29.571,77.9,HighQ
141,20060101,233000,0,29.11,29.577,77.3,HighQ
142,20060101,234000,-0.02,29.1,29.593,77.5,HighQ
143,20060101,235000,0.27,29.16,29.623,78,HighQ
144,20060102,0,-0.28,29.12,29.657,78.3,HighQ
145,20060102,1000,-0.01,29.16,29.642,79.1,HighQ
146,20060102,2000,-0.02,29.09,29.659,78.9,HighQ
147,20060102,3000,-0.01,29.24,29.65,78,HighQ
148,20060102,4000,-0.02,29.26,29.636,79.1,HighQ
149,20060102,5000,-0.01,29.09,29.667,79.6,HighQ
150,20060102,10000,0.01,29.06,29.71,80,HighQ
151,20060102,11000,0,29.14,29.734,78.1,HighQ
152,20060102,12000,0,29.24,29.741,77.7,HighQ
153,20060102,13000,-0.01,29.34,29.769,78.7,HighQ
154,20060102,14000,0,29.23,29.764,79.3,HighQ
155,20060102,15000,-0.01,29.13,29.788,78.2,HighQ
156,20060102,20000,-0.01,29.24,29.802,78.3,HighQ
157,20060102,21000,-0.01,29.25,29.778,78.2,HighQ
158,20060102,22000,-0.01,29.32,29.792,77.4,HighQ
159,20060102,23000,-0.01,29.3,29.763,77.9,HighQ
160,20060102,24000,-0.01,29.25,29.813,77.1,HighQ
161,20060102,25000,-0.01,29.28,29.787,78,HighQ
162,20060102,30000,-0.03,29.17,29.802,77.3,HighQ
163,20060102,31000,-0.01,29.3,29.791,77.1,HighQ
164,20060102,32000,-0.01,29.39,29.815,78.4,HighQ
165,20060102,33000,-0.01,29.27,29.798,78,HighQ
166,20060102,34000,-0.02,29.25,29.798,78.8,HighQ
167,20060102,35000,0.01,29.16,29.779,77.6,HighQ
168,20060102,40000,-0.01,29.22,29.794,77.7,HighQ
169,20060102,41000,0,29.24,29.823,77.7,HighQ
170,20060102,42000,-0.02,29.3,29.806,78.3,HighQ
171,20060102,43000,-0.01,29.23,29.779,77.8,HighQ
172,20060102,44000,0,29.26,29.81,77.4,HighQ
173,20060102,45000,-0.01,29.29,29.787,78.3,HighQ
174,20060102,50000,0,29.27,29.767,78.5,HighQ
175,20060102,51000,-0.01,29.17,29.753,79.1,HighQ
176,20060102,52000,-0.01,29.13,29.762,78.6,HighQ
177,20060102,53000,-0.01,29.28,29.765,78.5,HighQ
178,20060102,54000,0,29.2,29.75,77.1,HighQ
179,20060102,55000,0,29.2,29.716,77.1,HighQ
180,20060102,60000,0,29.14,29.696,77.7,HighQ
181,20060102,61000,0,29.11,29.687,78.9,HighQ
182,20060102,62000,0.01,29.09,29.685,79.4,HighQ
183,20060102,63000,-0.01,29.02,29.68,78.9,HighQ
184,20060102,64000,0,29.09,29.672,77.3,HighQ
185,20060102,65000,0,29.12,29.685,79,HighQ
186,20060102,70000,0.01,29.07,29.67,79.9,HighQ
187,20060102,71000,0,29.02,29.65,79.2,HighQ
188,20060102,72000,-0.01,29,29.638,79.2,HighQ
189,20060102,73000,-0.01,29.01,29.635,79.5,HighQ
190,20060102,74000,0,29.01,29.643,79.7,HighQ
191,20060102,75000,-0.02,28.98,29.636,77.2,HighQ
192,20060102,80000,-0.01,29.05,29.649,78.8,HighQ
193,20060102,81000,0,29.04,29.636,80.6,HighQ
194,20060102,82000,0,28.92,29.613,81.1,HighQ
195,20060102,83000,-0.02,28.9,29.606,80.3,HighQ
196,20060102,84000,-0.01,28.99,29.616,79.8,HighQ
197,20060102,85000,0,29,29.623,78.3,HighQ
198,20060102,90000,-0.01,29.06,29.621,79.6,HighQ
199,20060102,91000,0.01,29,29.62,80.2,HighQ
200,20060102,92000,0,28.91,29.615,81.8,HighQ
201,20060102,93000,-0.01,28.85,29.617,82.6,HighQ
202,20060102,94000,0.01,28.79,29.612,82.4,HighQ
203,20060102,95000,-0.02,28.81,29.608,81.9,HighQ
204,20060102,100000,0.01,28.83,29.608,80.5,HighQ
205,20060102,101000,-0.01,28.88,29.611,81.5,HighQ
206,20060102,102000,-0.01,28.93,29.601,81.5,HighQ
207,20060102,103000,-0.01,28.88,29.6,81.1,HighQ
208,20060102,104000,-0.02,28.88,29.608,80.8,HighQ
209,20060102,105000,0.01,28.91,29.612,82.2,HighQ
210,20060102,110000,-0.02,28.64,29.607,81.2,HighQ
211,20060102,111000,-0.02,28.59,29.611,82.4,HighQ
212,20060102,112000,-0.02,28.82,29.603,81.8,HighQ
213,20060102,113000,-0.01,28.27,29.61,84,HighQ
214,20060102,114000,-0.01,28.29,29.61,83.7,HighQ
215,20060102,115000,-0.01,28.32,29.603,83.6,HighQ
216,20060102,120000,0.05,28.2,29.601,83.9,HighQ
217,20060102,121000,-0.07,28.08,29.596,84.1,HighQ
218,20060102,122000,0.01,28.15,29.596,83.3,HighQ
219,20060102,123000,-0.01,28.31,29.597,83.1,HighQ
220,20060102,124000,0.01,28.44,29.602,84.3,HighQ
221,20060102,125000,0.04,28.49,29.605,83.4,HighQ
222,20060102,130000,4.35,27.99,29.595,86.5,HighQ
223,20060102,131000,2.77,26.76,29.581,90.3,HighQ
224,20060102,132000,0.19,26.67,29.59,90.6,HighQ
225,20060102,133000,0.02,26.65,29.593,89.6,HighQ
226,20060102,134000,0,27.04,29.597,87.3,HighQ
227,20060102,135000,-0.01,27,29.603,85.5,HighQ
228,20060102,140000,-0.02,27.2,29.6,85.3,HighQ
229,20060102,141000,-0.02,27.34,29.603,84.8,HighQ
230,20060102,142000,0.01,27.47,29.591,81.8,HighQ
231,20060102,143000,0,27.7,29.592,81.3,HighQ
232,20060102,144000,0,27.84,29.588,81,HighQ
233,20060102,145000,0.01,27.78,29.591,82,HighQ
234,20060102,150000,0,27.76,29.592,83.2,HighQ
235,20060102,151000,-0.01,27.82,29.597,83.1,HighQ
236,20060102,152000,-0.01,27.94,29.6,82.3,HighQ
237,20060102,153000,0.01,27.94,29.612,82.9,HighQ
238,20060102,154000,-0.05,27.88,29.613,83.6,HighQ
239,20060102,155000,-0.02,27.92,29.602,83.3,HighQ
240,20060102,160000,-0.01,28,29.616,83.8,HighQ
241,20060102,161000,-0.02,28,29.623,84,HighQ
242,20060102,162000,0.01,27.99,29.615,84.6,HighQ
243,20060102,163000,-0.01,28,29.621,84.6,HighQ
244,20060102,164000,-0.02,28.02,29.625,84.9,HighQ
245,20060102,165000,0.01,28,29.626,84.8,HighQ
246,20060102,170000,-0.01,28,29.622,85.3,HighQ
247,20060102,171000,-0.01,28.09,29.638,85.9,HighQ
248,20060102,172000,-0.03,28.15,29.646,85.6,HighQ
249,20060102,173000,-0.01,27.82,29.652,87.8,HighQ
250,20060102,174000,0,27.93,29.652,87.7,HighQ
251,20060102,175000,-0.01,28.08,29.638,85.6,HighQ
252,20060102,180000,-0.01,28.34,29.628,84.9,HighQ
253,20060102,181000,-0.03,28.22,29.626,86.6,HighQ
254,20060102,182000,0.02,28.01,29.631,87.1,HighQ
255,20060102,183000,-0.01,28.16,29.626,87.6,HighQ
256,20060102,184000,0.01,28.21,29.612,86.7,HighQ
257,20060102,185000,0,28.33,29.62,85.7,HighQ
258,20060102,190000,0.01,28.5,29.62,85.2,HighQ
259,20060102,191000,0.02,28.56,29.628,83,HighQ
260,20060102,192000,0.04,28.68,29.63,82.1,HighQ
261,20060102,193000,0.01,28.75,29.631,81.7,HighQ
262,20060102,194000,0,28.95,29.625,81.2,HighQ
263,20060102,195000,-0.02,29.09,29.623,80.6,HighQ
264,20060102,200000,-0.01,29.21,29.622,79.7,HighQ
265,20060102,201000,-0.01,29.29,29.628,80,HighQ
266,20060102,202000,-0.02,29.13,29.627,81.3,HighQ
267,20060102,203000,-0.01,29.05,29.622,80.3,HighQ
268,20060102,204000,-0.01,28.84,29.633,82.3,HighQ
269,20060102,205000,-0.01,28.68,29.632,81.7,HighQ
270,20060102,210000,0,28.53,29.638,80.7,HighQ
271,20060102,211000,-0.04,29.11,29.636,81.6,HighQ
272,20060102,212000,-0.02,29.22,29.631,78.1,HighQ
273,20060102,213000,-0.02,29.32,29.627,80.8,HighQ
274,20060102,214000,-0.01,29.35,29.625,80.9,HighQ
275,20060102,215000,-0.02,29.41,29.63,81.7,HighQ
276,20060102,220000,-0.01,29.31,29.63,80,HighQ
277,20060102,221000,-0.02,29.47,29.631,79.3,HighQ
278,20060102,222000,0.01,29.27,29.62,81.3,HighQ
279,20060102,223000,-0.07,28.68,29.631,78.1,HighQ
280,20060102,224000,-0.02,29.13,29.637,76.5,HighQ
281,20060102,225000,0.02,29.12,29.641,78.5,HighQ
282,20060102,230000,0.5,28.52,29.625,82.2,HighQ
283,20060102,231000,0.16,27.38,29.627,79.8,HighQ
284,20060102,232000,0.01,27.99,29.632,77.9,HighQ
285,20060102,233000,-0.07,28.54,29.633,78,HighQ
286,20060102,234000,-0.01,28.7,29.638,79.1,HighQ
287,20060102,235000,0.57,28.5,29.622,80.9,HighQ
288,20060103,0,1.33,27.7,29.61,83.7,HighQ
289,20060103,1000,0.73,26.82,29.603,86,HighQ
290,20060103,2000,0.91,26.5,29.605,87.5,HighQ
291,20060103,3000,0.3,26.69,29.621,84.7,HighQ
292,20060103,4000,0.07,27.09,29.635,84.2,HighQ
293,20060103,5000,0.02,27.42,29.647,84.7,HighQ
294,20060103,10000,-0.01,27.9,29.652,82.8,HighQ
295,20060103,11000,-0.01,28.32,29.654,81.2,HighQ
296,20060103,12000,-0.01,28.28,29.64,81.9,HighQ
297,20060103,13000,-0.01,28.4,29.667,83.7,HighQ
298,20060103,14000,0,28.32,29.682,83.4,HighQ
299,20060103,15000,0.01,28.63,29.69,81.6,HighQ
300,20060103,20000,0.01,28.81,29.685,81.8,HighQ
301,20060103,21000,0.01,28.75,29.66,82.4,HighQ
302,20060103,22000,-0.01,28.79,29.674,82.6,HighQ
303,20060103,23000,0,28.8,29.652,82,HighQ
304,20060103,24000,0.01,28.83,29.654,83.5,HighQ
305,20060103,25000,-0.01,28.85,29.665,82.8,HighQ
306,20060103,30000,-0.02,29.29,29.672,79.5,HighQ
307,20060103,31000,-0.01,29.4,29.645,79.2,HighQ
308,20060103,32000,-0.01,29.42,29.635,78.4,HighQ
309,20060103,33000,-0.01,29.51,29.659,77.3,HighQ
310,20060103,34000,-0.02,29.59,29.66,77.3,HighQ
311,20060103,35000,-0.02,29.58,29.65,76.8,HighQ
312,20060103,40000,-0.01,29.56,29.659,77.6,HighQ
313,20060103,41000,-0.03,29.55,29.675,78.3,HighQ
314,20060103,42000,-0.01,29.52,29.625,78,HighQ
315,20060103,43000,0,29.48,29.646,78.3,HighQ
316,20060103,44000,-0.01,29.46,29.626,78.7,HighQ
317,20060103,45000,-0.02,29.45,29.611,77.6,HighQ
318,20060103,50000,-0.01,29.53,29.603,77.1,HighQ
319,20060103,51000,0.01,29.6,29.597,76.8,HighQ
320,20060103,52000,-0.01,29.55,29.582,76.9,HighQ
321,20060103,53000,-0.01,29.52,29.585,77.1,HighQ
322,20060103,54000,-0.01,29.43,29.587,78.6,HighQ
323,20060103,55000,0,29.37,29.576,78.4,HighQ
324,20060103,60000,-0.01,29.38,29.562,79.7,HighQ
325,20060103,61000,-0.01,29.44,29.563,78.5,HighQ
326,20060103,62000,-0.02,29.47,29.552,77.8,HighQ
327,20060103,63000,-0.04,29.44,29.556,77.7,HighQ
328,20060103,64000,-0.01,29.4,29.546,76.6,HighQ
329,20060103,65000,0.01,29.41,29.543,78,HighQ
330,20060103,70000,0,29.3,29.53,77.2,HighQ
331,20060103,71000,0,29.29,29.519,76.7,HighQ
332,20060103,72000,-0.01,29.31,29.516,78.3,HighQ
333,20060103,73000,0,29.22,29.516,78.3,HighQ
334,20060103,74000,-0.01,29.2,29.523,78,HighQ
335,20060103,75000,-0.01,29.29,29.521,76.3,HighQ
336,20060103,80000,-0.01,29.29,29.521,78.6,HighQ
337,20060103,81000,0,29.22,29.52,77.8,HighQ
338,20060103,82000,-0.01,29.21,29.52,77.9,HighQ
339,20060103,83000,-0.01,29.2,29.522,77,HighQ
340,20060103,84000,-0.01,29.21,29.515,75.5,HighQ
341,20060103,85000,0.01,29.25,29.519,76.9,HighQ
342,20060103,90000,-0.03,29.22,29.517,76.1,HighQ
343,20060103,91000,0.02,29.27,29.497,77.1,HighQ
344,20060103,92000,-0.01,29.23,29.51,77.9,HighQ
345,20060103,93000,-0.01,29.19,29.504,78.5,HighQ
346,20060103,94000,0,29.17,29.504,78.6,HighQ
347,20060103,95000,0,29.21,29.504,79.1,HighQ
348,20060103,100000,-0.01,29.18,29.51,77.8,HighQ
349,20060103,101000,0.01,29.19,29.511,78.7,HighQ
350,20060103,102000,-0.01,29.18,29.504,78.8,HighQ
351,20060103,103000,-0.01,29.18,29.516,77.8,HighQ
352,20060103,104000,0,29.21,29.521,77.1,HighQ
353,20060103,105000,-0.01,29.24,29.516,78.1,HighQ
354,20060103,110000,-0.02,28.96,29.521,79,HighQ
355,20060103,111000,-0.01,29.04,29.515,80.6,HighQ
356,20060103,112000,0.01,29.05,29.521,80.4,HighQ
357,20060103,113000,-0.01,29.09,29.516,78.8,HighQ
358,20060103,114000,-0.01,29.11,29.522,80.3,HighQ
359,20060103,115000,-0.01,29,29.526,79.5,HighQ
360,20060103,120000,0.13,29,29.516,78.6,HighQ
361,20060103,121000,-0.15,29.04,29.51,78.8,HighQ
362,20060103,122000,0,29.07,29.511,79.4,HighQ
363,20060103,123000,-0.01,29.06,29.507,78.8,HighQ
364,20060103,124000,0.01,29.06,29.492,77.7,HighQ
365,20060103,125000,-0.01,29.11,29.5,78.3,HighQ
366,20060103,130000,-0.01,29.12,29.501,78.1,HighQ
367,20060103,131000,0,29.1,29.496,78,HighQ
368,20060103,132000,0,29.08,29.491,78.4,HighQ
369,20060103,133000,0,29.05,29.485,78.1,HighQ
370,20060103,134000,-0.02,29.05,29.494,78.8,HighQ
371,20060103,135000,0.01,29.04,29.49,78.3,HighQ
372,20060103,140000,-0.03,29.06,29.501,78,HighQ
373,20060103,141000,0,29.01,29.49,78,HighQ
374,20060103,142000,0.02,28.98,29.484,78.9,HighQ
375,20060103,143000,-0.02,28.91,29.495,79.8,HighQ
376,20060103,144000,-0.01,28.85,29.492,79.9,HighQ
377,20060103,145000,0.01,28.82,29.499,78.9,HighQ
378,20060103,150000,0,28.9,29.514,79.7,HighQ
379,20060103,151000,-0.01,28.92,29.522,79.8,HighQ
380,20060103,152000,-0.01,28.93,29.512,80.1,HighQ
381,20060103,153000,-0.01,28.86,29.525,79.3,HighQ
382,20060103,154000,0.01,28.94,29.515,80,HighQ
383,20060103,155000,-0.01,28.89,29.516,79.4,HighQ
384,20060103,160000,0,28.87,29.506,79.9,HighQ
385,20060103,161000,0.01,28.84,29.509,79.9,HighQ
386,20060103,162000,-0.02,28.83,29.52,79.3,HighQ
387,20060103,163000,-0.02,28.84,29.523,78.8,HighQ
388,20060103,164000,-0.01,28.87,29.526,78.2,HighQ
389,20060103,165000,0.02,28.87,29.514,77.9,HighQ
390,20060103,170000,0,28.91,29.525,78.8,HighQ
391,20060103,171000,-0.01,28.89,29.519,79.9,HighQ
392,20060103,172000,-0.01,28.85,29.521,78.4,HighQ
393,20060103,173000,-0.01,28.89,29.521,79.1,HighQ
394,20060103,174000,-0.02,28.92,29.52,79.6,HighQ
395,20060103,175000,0,28.88,29.522,80.1,HighQ
396,20060103,180000,-0.01,28.83,29.527,79,HighQ
397,20060103,181000,-0.01,28.87,29.517,79.8,HighQ
398,20060103,182000,0.01,28.91,29.507,79.3,HighQ
399,20060103,183000,-0.01,28.88,29.511,80.3,HighQ
400,20060103,184000,-0.04,28.88,29.507,78.7,HighQ
401,20060103,185000,0,28.97,29.511,79.4,HighQ
402,20060103,190000,0.01,28.41,29.516,82.2,HighQ
403,20060103,191000,-0.01,28.22,29.514,80.2,HighQ
404,20060103,192000,0.02,28.53,29.525,81.8,HighQ
405,20060103,193000,-0.03,28.64,29.52,81.5,HighQ
406,20060103,194000,-0.01,29.14,29.51,78.7,HighQ
407,20060103,195000,-0.04,29.34,29.512,78.7,HighQ
408,20060103,200000,0,29.38,29.494,77.7,HighQ
409,20060103,201000,-0.02,29.34,29.516,78.6,HighQ
410,20060103,202000,0,29.5,29.509,77.3,HighQ
411,20060103,203000,-0.02,29.5,29.511,78.1,HighQ
412,20060103,204000,-0.02,29.52,29.506,77.5,HighQ
413,20060103,205000,-0.01,29.52,29.507,78.3,HighQ
414,20060103,210000,-0.01,29.53,29.506,78.5,HighQ
415,20060103,211000,-0.03,29.57,29.51,77.4,HighQ
416,20060103,212000,-0.01,29.48,29.504,78.8,HighQ
417,20060103,213000,-0.01,29.44,29.509,79.3,HighQ
418,20060103,214000,-0.03,29.53,29.505,77.5,HighQ
419,20060103,215000,-0.02,29.69,29.507,77.3,HighQ
420,20060103,220000,-0.02,29.62,29.501,77.1,HighQ
421,20060103,221000,-0.02,29.59,29.505,75.8,HighQ
422,20060103,222000,-0.01,29.72,29.509,76.5,HighQ
423,20060103,223000,-0.02,29.62,29.515,75.6,HighQ
424,20060103,224000,-0.02,29.64,29.523,75.5,HighQ
425,20060103,225000,-0.01,29.65,29.525,75.6,HighQ
426,20060103,230000,-0.02,29.66,29.542,75.4,HighQ
427,20060103,231000,-0.03,29.57,29.536,76.2,HighQ
428,20060103,232000,0,29.58,29.542,76.1,HighQ
429,20060103,233000,-0.02,29.57,29.552,76.9,HighQ
430,20060103,234000,-0.02,29.52,29.552,76.9,HighQ
431,20060103,235000,0.29,29.46,29.557,77.8,HighQ
432,20060104,0,-0.33,29.46,29.573,77.8,HighQ
433,20060104,1000,0.01,29.47,29.558,77.4,HighQ
434,20060104,2000,-0.02,29.51,29.561,77,HighQ
435,20060104,3000,-0.02,29.53,29.572,77.3,HighQ
436,20060104,4000,-0.01,29.52,29.57,77,HighQ
437,20060104,5000,-0.01,29.59,29.591,77.1,HighQ
438,20060104,10000,-0.02,29.52,29.597,76.6,HighQ
439,20060104,11000,-0.01,29.53,29.591,78,HighQ
440,20060104,12000,-0.02,29.4,29.57,76.7,HighQ
441,20060104,13000,0.01,29.45,29.596,77.5,HighQ
442,20060104,14000,0,29.41,29.586,77.2,HighQ
443,20060104,15000,-0.02,29.38,29.597,77.4,HighQ
444,20060104,20000,-0.01,29.31,29.593,77.8,HighQ
445,20060104,21000,-0.02,29.36,29.613,78.3,HighQ
446,20060104,22000,-0.01,29.35,29.641,77.7,HighQ
447,20060104,23000,-0.01,29.44,29.616,77.8,HighQ
448,20060104,24000,-0.02,29.42,29.615,78,HighQ
449,20060104,25000,-0.01,29.36,29.621,77.9,HighQ
450,20060104,30000,-0.02,29.36,29.611,77.7,HighQ
451,20060104,31000,0,29.35,29.585,77.9,HighQ
452,20060104,32000,-0.02,29.37,29.607,78,HighQ
453,20060104,33000,-0.01,29.38,29.606,78.2,HighQ
454,20060104,34000,-0.01,29.36,29.606,77.9,HighQ
455,20060104,35000,-0.01,29.4,29.597,78.4,HighQ
456,20060104,40000,-0.02,29.42,29.598,78.9,HighQ
457,20060104,41000,-0.01,29.41,29.59,78.5,HighQ
458,20060104,42000,-0.01,29.49,29.615,78.1,HighQ
459,20060104,43000,-0.02,29.42,29.626,78,HighQ
460,20060104,44000,-0.02,29.68,29.627,77,HighQ
461,20060104,45000,-0.02,29.83,29.608,76.3,HighQ
462,20060104,50000,-0.04,29.94,29.608,76,HighQ
463,20060104,51000,-0.01,29.74,29.591,75.6,HighQ
